Estimate ID,In Detailed Export,Status,Has Close Date,Price,Archived,Exclude Stats,Would Match Filter
EST3405651,No,Estimate In Progress,Yes,0,No,No,No
EST3386982,No,Estimate In Progress,Yes,0,No,No,No
EST3387003,No,Estimate In Progress,Yes,0,No,No,No
EST3387047,No,Estimate In Progress,Yes,0,No,No,No
EST3387052,No,Estimate In Progress,Yes,0,No,No,No
EST3387081,No,Estimate In Progress,Yes,0,No,No,No
EST3387104,No,Estimate In Progress,Yes,0,No,No,No
EST3405526,No,Estimate In Progress,Yes,0,No,No,No
EST3405626,No,Estimate In Progress,Yes,0,No,No,No
EST3405317,No,Estimate In Progress,Yes,0,No,No,No
EST3405466,No,Estimate In Progress,Yes,0,No,No,No
EST3405849,No,Estimate In Progress,Yes,0,No,No,No
EST3405866,No,Estimate In Progress,No,0,No,No,No
EST3406706,No,Estimate In Progress,Yes,0,No,No,No
EST3406754,No,Estimate In Progress,Yes,0,No,No,No
EST3294712,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3406681,No,Estimate In Progress,Yes,0,No,No,No
EST3339233,No,Contract Signed,Yes,0,No,No,No
EST3354452,No,Contract Signed,No,0,No,No,No
EST3354468,No,Contract Signed,No,0,No,No,No
EST3086547,No,Estimate In Progress,Yes,0,No,No,No
EST3354437,No,Contract Signed,No,0,No,No,No
EST3354430,No,Contract Signed,No,0,No,No,No
EST3189822,No,Contract Signed,Yes,0,No,No,No
EST3149324,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST2999993,No,Estimate Lost,Yes,0,No,No,No
EST3000075,No,Estimate Lost,Yes,0,No,No,No
EST3000145,No,Estimate Lost,Yes,0,No,No,No
EST3000201,No,Estimate Lost,Yes,0,No,No,No
EST3000322,No,Estimate Lost,Yes,0,No,No,No
EST2997251,No,Estimate Lost,Yes,0,No,No,No
EST2997362,No,Estimate Lost,Yes,0,No,No,No
EST2999548,No,Estimate Lost,Yes,0,No,No,No
EST2999580,No,Estimate Lost,Yes,0,No,No,No
EST2999636,No,Estimate Lost,Yes,0,No,No,No
EST2999741,No,Estimate Lost,Yes,0,No,No,No
EST2999811,No,Estimate Lost,Yes,0,No,No,No
EST2997106,No,Estimate Lost,Yes,0,No,No,No
EST2991128,No,Estimate Lost,Yes,0,No,No,No
EST2991138,No,Email Contract Award,Yes,0,No,No,No
EST2991148,No,Email Contract Award,Yes,0,No,No,No
EST2991154,No,Estimate Lost,Yes,0,No,No,No
EST3057373,No,Estimate Lost,Yes,0,No,No,No
EST2974316,No,Estimate Lost,Yes,0,No,No,No
EST2991165,No,Estimate Lost,Yes,0,No,No,No
EST2991167,No,Estimate Lost,Yes,0,No,No,No
EST2991169,No,Estimate Lost,Yes,0,No,No,No
EST2991171,No,Estimate Lost,Yes,0,No,No,No
EST2991173,No,Estimate Lost,Yes,0,No,No,No
EST2991176,No,Estimate Lost,Yes,0,No,No,No
EST2991178,No,Contract Signed,Yes,0,No,No,No
EST2991157,No,Estimate Lost,Yes,0,No,No,No
EST2991161,No,Estimate Lost,Yes,0,No,No,No
EST2991163,No,Estimate Lost,Yes,0,No,No,No
EST2962589,No,Estimate Lost,Yes,0,No,No,No
EST2962625,No,Estimate Lost,Yes,0,No,No,No
EST2962501,No,Contract Signed,Yes,0,No,No,No
EST2962564,No,Estimate Lost,Yes,0,No,No,No
EST3020290,No,Email Contract Award,Yes,0,No,No,No
EST2943160,No,Contract Signed,Yes,0,No,No,No
EST2943257,No,Contract Signed,Yes,0,No,No,No
EST2943219,No,Contract Signed,Yes,0,No,No,No
EST2944352,No,Contract Signed,No,0,No,No,No
EST2944506,No,Contract Signed,No,0,No,No,No
EST2944551,No,Contract Signed,No,0,No,No,No
EST2944964,No,Contract Signed,No,0,No,No,No
EST2865197,No,Contract Signed,Yes,0,No,No,No
EST2865058,No,Contract Signed,Yes,0,No,No,No
EST2865313,No,Contract Signed,Yes,0,No,No,No
EST2988830,No,Contract Signed,Yes,0,No,No,No
EST2988908,No,Contract Signed,Yes,0,No,No,No
EST2989793,No,Estimate Lost,Yes,0,No,No,No
EST2990058,No,Estimate Lost,Yes,0,No,No,No
EST2990127,No,Contract Signed,Yes,0,No,No,No
EST2990207,No,Estimate Lost,Yes,0,No,No,No
EST2990155,No,Contract Signed,Yes,0,No,No,No
EST3387098,No,Estimate In Progress,Yes,0,No,No,No
EST3387024,No,Estimate In Progress,Yes,0,No,No,No
EST3387075,No,Estimate In Progress,Yes,0,No,No,No
EST3387013,No,Estimate In Progress,Yes,0,No,No,No
EST3386976,No,Estimate In Progress,Yes,0,No,No,No
EST3387000,No,Estimate In Progress,Yes,0,No,No,No
EST3405862,No,Estimate In Progress,Yes,0,No,No,No
EST3406703,No,Estimate In Progress,Yes,0,No,No,No
EST3406739,No,Estimate In Progress,Yes,0,No,No,No
EST3406672,No,Estimate In Progress,Yes,0,No,No,No
EST3405847,No,Estimate In Progress,Yes,0,No,No,No
EST3406771,No,Estimate In Progress,Yes,0,No,No,No
EST3405355,No,Estimate In Progress,Yes,0,No,No,No
EST3405513,No,Estimate In Progress,Yes,0,No,No,No
EST3405308,No,Estimate In Progress,Yes,0,No,No,No
EST3405615,No,Estimate In Progress,Yes,0,No,No,No
EST3405642,No,Estimate In Progress,Yes,0,No,No,No
EST3312077,No,Email Contract Award,Yes,0,No,No,No
EST2990837,No,Contract Signed,Yes,0,No,No,No
EST2990656,No,Contract Signed,Yes,0,No,No,No
EST2990674,No,Contract Signed,Yes,0,No,No,No
EST2990710,No,Estimate Lost,Yes,0,No,No,No
EST2990726,No,Estimate Lost,Yes,0,No,No,No
EST2990762,No,Estimate Lost,Yes,0,No,No,No
EST2990796,No,Estimate Lost,Yes,0,No,No,No
EST2990817,No,Estimate Lost,Yes,0,No,No,No
EST3057469,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3057635,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3057670,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3057692,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3057836,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3040214,No,Contract Signed,No,0,No,No,No
EST3057860,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3057871,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3057880,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST3294650,No,Estimate Lost - Price too high,Yes,0,No,No,No
EST2991596,No,Contract Signed,Yes,0,No,No,No
EST2991619,No,Estimate Lost,Yes,0,No,No,No
EST2991660,No,Contract Signed,Yes,0,No,No,No
EST2991689,No,Estimate Lost,Yes,0,No,No,No
EST2991771,No,Estimate Lost,Yes,0,No,No,No
