Estimate ID,In General Export,In Our Database,In Detailed Export,Status,Division,Price
EST3405651,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3386982,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387003,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387047,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387052,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387081,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3387104,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405526,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405626,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405317,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405466,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405849,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3405866,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406706,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3406754,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3294712,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST3406681,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3339233,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3354452,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3354468,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3086547,Yes,Yes,No,Estimate In Progress,LE Maintenance (Summer/Winter),0
EST3354437,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3354430,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3189822,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST3149324,Yes,Yes,No,Estimate Lost - Price too high,LE Maintenance (Summer/Winter),0
EST2999993,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3000075,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3000145,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3000201,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3000322,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2997251,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2997362,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999548,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999580,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999636,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999741,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2999811,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2997106,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991128,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991138,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2991148,Yes,Yes,No,Email Contract Award,LE Maintenance (Summer/Winter),0
EST2991154,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST3057373,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2974316,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991165,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991167,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991169,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991171,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991173,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991176,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991178,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2991157,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991161,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2991163,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962589,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962625,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
EST2962501,Yes,Yes,No,Contract Signed,LE Maintenance (Summer/Winter),0
EST2962564,Yes,Yes,No,Estimate Lost,LE Maintenance (Summer/Winter),0
