Estimate ID,Division,Price,Hours,Price/Hour,Status,Close Date
EST2846247,LE Maintenance Enchancements,80,,,won,2025-06-09T00:00:00+00:00
EST5064509,LE Tree Care,484.36,4,121.09,won,2025-01-08T00:00:00+00:00
EST5077566,LE Tree Care,1569.02,12,130.75,won,2025-01-05T00:00:00+00:00
EST1396079,LE Maintenance (Summer/Winter),8600,65.2,131.90,won,2025-10-21T00:00:00+00:00
EST5846923,LE Paving,0,,,won,2025-11-05T00:00:00+00:00
EST2955829,LE Maintenance (Summer/Winter),78665.37,1,78665.37,won,2025-02-10T00:00:00+00:00
EST3202079,LE Maintenance (Summer/Winter),132443.55,106,1249.47,won,2025-07-09T00:00:00+00:00
EST3347950,LE Maintenance (Summer/Winter),11319.84,1,11319.84,won,2025-10-19T00:00:00+00:00
EST3018860,LE Maintenance (Summer/Winter),29222.14,15,1948.14,won,2025-03-10T00:00:00+00:00
EST5034415,LE Paving,2934.12,20,146.71,won,2025-04-02T00:00:00+00:00
EST3031309,LE Maintenance (Summer/Winter),2909.65,5,581.93,won,2025-03-13T00:00:00+00:00
EST3031308,LE Maintenance (Summer/Winter),4973.89,5,994.78,won,2025-03-13T00:00:00+00:00
EST3031310,LE Maintenance (Summer/Winter),5548.63,5,1109.73,won,2025-03-13T00:00:00+00:00
EST3031311,LE Maintenance (Summer/Winter),5937.97,5,1187.59,won,2025-03-13T00:00:00+00:00
EST3031312,LE Maintenance (Summer/Winter),22552.48,5,4510.50,won,2025-03-13T00:00:00+00:00
EST3031307,LE Maintenance (Summer/Winter),8051.53,5,1610.31,won,2025-03-13T00:00:00+00:00
EST3031303,LE Maintenance (Summer/Winter),8404.89,5,1680.98,won,2025-03-13T00:00:00+00:00
EST3019326,LE Maintenance (Summer/Winter),26855.26,15,1790.35,won,2025-03-10T00:00:00+00:00
EST3031302,LE Maintenance (Summer/Winter),7328.54,5,1465.71,won,2025-03-13T00:00:00+00:00
EST3107262,LE Maintenance (Summer/Winter),0,,,won,2025-04-20T00:00:00+00:00
EST3031306,LE Maintenance (Summer/Winter),5690.77,5,1138.15,won,2025-03-13T00:00:00+00:00
EST3031305,LE Maintenance (Summer/Winter),4973.89,5,994.78,won,2025-03-13T00:00:00+00:00
EST3031304,LE Maintenance (Summer/Winter),6654.85,15,443.66,won,2025-03-13T00:00:00+00:00
EST3031301,LE Maintenance (Summer/Winter),7599.13,5,1519.83,won,2025-03-13T00:00:00+00:00
EST3019291,LE Maintenance (Summer/Winter),23332.64,15,1555.51,won,2025-03-10T00:00:00+00:00
EST3019252,LE Maintenance (Summer/Winter),11018.96,,,won,2025-03-10T00:00:00+00:00
EST3019118,LE Maintenance (Summer/Winter),19666.88,15,1311.13,won,2025-03-10T00:00:00+00:00
EST3018985,LE Maintenance (Summer/Winter),18568.52,15,1237.90,won,2025-03-10T00:00:00+00:00
