Estimate ID,Status,Price,Close Date,Division,Archived,Exclude Stats,Hours,Exclusion Reason
EST3405651,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3386982,Estimate In Progress,0,2028-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387003,Estimate In Progress,0,2028-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387047,Estimate In Progress,0,2025-11-10,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387052,Estimate In Progress,0,2025-11-10,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387081,Estimate In Progress,0,2025-11-10,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387104,Estimate In Progress,0,2025-11-10,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405526,Estimate In Progress,0,2028-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405626,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405317,Estimate In Progress,0,2028-01-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405466,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405849,Estimate In Progress,0,2025-11-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3405866,Estimate In Progress,0,,LE Maintenance (Summer/Winter),No,No,,No Close Date
EST3406706,Estimate In Progress,0,2025-11-21,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3406754,Estimate In Progress,0,2025-11-21,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3294712,Estimate Lost - Price too high,0,2025-09-17,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3406681,Estimate In Progress,0,2025-11-21,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3339233,Contract Signed,0,2025-10-14,LE Maintenance (Summer/Winter),No,No,2,Zero Price
EST3354452,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3354468,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3086547,Estimate In Progress,0,2027-01-01,LE Maintenance (Summer/Winter),No,No,72,Zero Price
EST3354437,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3354430,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,90,No Close Date
EST3189822,Contract Signed,0,2025-07-02,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST3149324,Estimate Lost - Price too high,0,2025-05-16,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2999993,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3000075,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3000145,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3000201,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST3000322,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2997251,Estimate Lost,0,2025-03-03,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2997362,Estimate Lost,0,2025-03-03,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999548,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999580,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999636,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999741,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2999811,Estimate Lost,0,2025-03-04,LE Maintenance (Summer/Winter),No,No,1,Zero Price
EST2997106,Estimate Lost,0,2025-03-03,LE Maintenance (Summer/Winter),No,No,94.5,Zero Price
EST2991128,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991138,Email Contract Award,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991148,Email Contract Award,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991154,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3057373,Estimate Lost,0,2025-03-26,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2974316,Estimate Lost,0,2025-02-20,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991165,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991167,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991169,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991171,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991173,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991176,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991178,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991157,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991161,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2991163,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2962589,Estimate Lost,0,2025-02-14,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2962625,Estimate Lost,0,2027-02-14,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2962501,Contract Signed,0,2025-02-14,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2962564,Estimate Lost,0,2025-02-14,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3020290,Email Contract Award,0,2025-03-11,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2943160,Contract Signed,0,2024-10-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2943257,Contract Signed,0,2024-10-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2943219,Contract Signed,0,2024-10-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2944352,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,,No Close Date
EST2944506,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,,No Close Date
EST2944551,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,,No Close Date
EST2944964,Contract Signed,0,,LE Maintenance (Summer/Winter),No,No,,No Close Date
EST2865197,Contract Signed,0,2024-07-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2865058,Contract Signed,0,2024-07-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2865313,Contract Signed,0,2024-07-01,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST2988830,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,55,Zero Price
EST2988908,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2989793,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2990058,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2990127,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,25,Zero Price
EST2990207,Estimate Lost,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,105,Zero Price
EST2990155,Contract Signed,0,2025-02-28,LE Maintenance (Summer/Winter),No,No,100,Zero Price
EST3387098,Estimate In Progress,0,2025-11-10,LE Maintenance (Summer/Winter),No,No,,Zero Price
EST3387024,Estimate In Progress,0,2025-11-10,LE Maintenance (Summer/Winter),No,No,,Zero Price
