Estimate ID,In Our List,In LMN List,Division,Price,Hours,PPH,Why Different
EST1396079,Yes,No,LE Maintenance (Summer/Winter),8600,65.2,131.90,We include but LMN excludes
EST3202079,Yes,No,LE Maintenance (Summer/Winter),132443.55,106,1249.47,We include but LMN excludes
EST3018860,Yes,No,LE Maintenance (Summer/Winter),29222.14,15,1948.14,We include but LMN excludes
EST3031308,Yes,No,LE Maintenance (Summer/Winter),4973.89,5,994.78,We include but LMN excludes
EST3031310,Yes,No,LE Maintenance (Summer/Winter),5548.63,5,1109.73,We include but LMN excludes
EST3031311,Yes,No,LE Maintenance (Summer/Winter),5937.97,5,1187.59,We include but LMN excludes
EST3031312,Yes,No,LE Maintenance (Summer/Winter),22552.48,5,4510.50,We include but LMN excludes
EST3031307,Yes,No,LE Maintenance (Summer/Winter),8051.53,5,1610.31,We include but LMN excludes
EST3031303,Yes,No,LE Maintenance (Summer/Winter),8404.89,5,1680.98,We include but LMN excludes
EST3019326,Yes,No,LE Maintenance (Summer/Winter),26855.26,15,1790.35,We include but LMN excludes
EST3031302,Yes,No,LE Maintenance (Summer/Winter),7328.54,5,1465.71,We include but LMN excludes
EST3031306,Yes,No,LE Maintenance (Summer/Winter),5690.77,5,1138.15,We include but LMN excludes
EST3031305,Yes,No,LE Maintenance (Summer/Winter),4973.89,5,994.78,We include but LMN excludes
EST3031304,Yes,No,LE Maintenance (Summer/Winter),6654.85,15,443.66,We include but LMN excludes
EST3031301,Yes,No,LE Maintenance (Summer/Winter),7599.13,5,1519.83,We include but LMN excludes
EST3019291,Yes,No,LE Maintenance (Summer/Winter),23332.64,15,1555.51,We include but LMN excludes
EST3019252,Yes,No,LE Maintenance (Summer/Winter),11018.96,,,We include but LMN excludes
EST3019118,Yes,No,LE Maintenance (Summer/Winter),19666.88,15,1311.13,We include but LMN excludes
EST3018985,Yes,No,LE Maintenance (Summer/Winter),18568.52,15,1237.90,We include but LMN excludes
EST3047281,Yes,No,LE Maintenance (Summer/Winter),21894.67,40,547.37,We include but LMN excludes
EST3019650,Yes,No,LE Maintenance (Summer/Winter),33253.82,105,316.70,We include but LMN excludes
EST4548181,Yes,No,LE Paving,4667.11,,,We include but LMN excludes
