Estimate ID,Estimate #,Close Date,Status,Division,Price,Hours,Price/Hour
EST4920011,EST4920011,2025-02-17T00:00:00+00:00,won,LE Paving,63225.41,118,535.81
EST4958530,EST4958530,2025-03-27T00:00:00+00:00,won,LE Paving,19487.06,0,
EST5244081,EST5244081,2025-04-25T00:00:00+00:00,won,LE Paving,1395.42,6,232.57
EST3062103,EST3062103,2025-03-26T00:00:00+00:00,won,LE Maintenance (Summer/Winter),5932.5,0,
EST4751221,EST4751221,2025-01-31T00:00:00+00:00,won,LE Paving,175000,268,652.99
EST4863211,EST4863211,2025-03-27T00:00:00+00:00,won,LE Paving,14596.92,90,162.19
EST5164163,EST5164163,2025-02-23T00:00:00+00:00,won,LE Irrigation,628.58,6,104.76
EST5353487,EST5353487,2025-05-13T00:00:00+00:00,won,LE Paving,48165.9,175,275.23
EST5341923,EST5341923,2025-04-29T00:00:00+00:00,won,LE Tree Care,382.02,3,127.34
EST5344895,EST5344895,2025-05-19T00:00:00+00:00,won,LE Landscapes,32958.08,134,245.96
EST5346405,EST5346405,2025-05-25T00:00:00+00:00,won,LE Tree Care,1026.46,8,128.31
EST5386023,EST5386023,2025-05-19T00:00:00+00:00,won,LE Landscapes,793.38,4,198.34
EST3127932,EST3127932,2025-10-05T00:00:00+00:00,won,LE Maintenance (Summer/Winter),2310,0,
EST5406543,EST5406543,2025-07-06T00:00:00+00:00,won,LE Paving,51912.46,102,508.95
EST5392734,EST5392734,2025-05-14T00:00:00+00:00,won,LE Tree Care,509.34,4,127.33
EST5363048,EST5363048,2025-05-04T00:00:00+00:00,won,LE Tree Care,406,4,101.50
EST5414233,EST5414233,2025-06-01T00:00:00+00:00,won,LE Tree Care,1503.96,10,150.40
EST5113666,EST5113666,2025-03-24T00:00:00+00:00,won,LE Landscapes,631.34,6,105.22
EST5432056,EST5432056,2025-05-25T00:00:00+00:00,won,LE Tree Care,500.01,3,166.67
EST5435892,EST5435892,2025-05-27T00:00:00+00:00,won,LE Landscapes,5137.14,26,197.58
EST5415810,EST5415810,2025-05-19T00:00:00+00:00,won,LE Irrigation,352.94,0,
EST5346312,EST5346312,2025-06-23T00:00:00+00:00,won,LE Paving,4939.74,0,
EST5346346,EST5346346,2025-06-23T00:00:00+00:00,won,LE Paving,1357.3,0,
EST5169713,EST5169713,2025-02-27T00:00:00+00:00,won,Parking Lot Sweeping,3273.33,0,
EST5450738,EST5450738,2025-06-09T00:00:00+00:00,won,LE Landscapes,2546.43,8,318.30
EST5457357,EST5457357,2025-06-02T00:00:00+00:00,won,LE Tree Care,203,1,203.00
EST5462899,EST5462899,2025-06-04T00:00:00+00:00,won,LE Irrigation,150,0,
EST5169653,EST5169653,2025-02-27T00:00:00+00:00,won,Parking Lot Sweeping,1857.7,0,
EST5169722,EST5169722,2025-03-23T00:00:00+00:00,won,Parking Lot Sweeping,1367,0,
EST5474819,EST5474819,2025-06-09T00:00:00+00:00,won,LE Maintenance Enchancements,1153.94,10,115.39
EST5468942,EST5468942,2025-06-12T00:00:00+00:00,won,LE Landscapes,2024.1,8,253.01
EST2990491,EST2990491,2025-02-27T00:00:00+00:00,won,LE Maintenance (Summer/Winter),1830.57,0,
EST2990471,EST2990471,2025-02-27T00:00:00+00:00,won,LE Maintenance (Summer/Winter),1830.57,0,
EST2990483,EST2990483,2025-02-27T00:00:00+00:00,won,LE Maintenance (Summer/Winter),1830.57,0,
