Estimate ID,Division,Type,Version,Price,Hours,PPH
EST4958530,LE Paving,Standard,,19487.06,,
EST4920011,LE Paving,Standard,,63225.41,118,535.81
EST5244081,LE Paving,Standard,,1395.42,6,232.57
EST3062103,LE Maintenance (Summer/Winter),Service,2025,5932.5,,
EST4863211,LE Paving,Standard,2,14596.92,90,162.19
EST4751221,LE Paving,Standard,,175000,268,652.99
EST5164163,LE Irrigation,Standard,,628.58,6,104.76
EST5341923,LE Tree Care,Standard,,382.02,3,127.34
EST5344895,LE Landscapes,Standard,,32958.08,134,245.96
EST5353487,LE Paving,Standard,,48165.9,175,275.23
EST5346405,LE Tree Care,Standard,,1026.46,8,128.31
EST5392734,LE Tree Care,Standard,,509.34,4,127.33
EST5363048,LE Tree Care,Standard,,406,4,101.50
EST3127932,LE Maintenance (Summer/Winter),Service,2027,2310,,
EST5406543,LE Paving,Standard,,51912.46,102,508.95
EST5386023,LE Landscapes,Standard,,793.38,4,198.34
EST5414233,LE Tree Care,Standard,,1503.96,10,150.40
EST5113666,LE Landscapes,Standard,,631.34,6,105.22
EST5415810,LE Irrigation,Standard,,352.94,,
EST5432056,LE Tree Care,Standard,,500.01,3,166.67
EST5435892,LE Landscapes,Standard,,5137.14,26,197.58
EST5346346,LE Paving,Standard,,1357.3,,
EST5457357,LE Tree Care,Standard,,203,1,203.00
EST5169713,Parking Lot Sweeping,Standard,2025,3273.33,,
EST5169653,Parking Lot Sweeping,Standard,2025,1857.7,,
EST5462899,LE Irrigation,Standard,,150,,
EST5450738,LE Landscapes,Standard,,2546.43,8,318.30
EST5346312,LE Paving,Standard,,4939.74,,
EST5169722,Parking Lot Sweeping,Standard,2025,1367,,
EST5474819,LE Maintenance Enchancements,Standard,,1153.94,10,115.39
EST5506290,LE Landscapes,Standard,,1639.48,10,163.95
EST5468942,LE Landscapes,Standard,,2024.1,8,253.01
EST2990483,LE Maintenance (Summer/Winter),Service,2025,1830.57,,
EST2990471,LE Maintenance (Summer/Winter),Service,2025,1830.57,,
EST2990491,LE Maintenance (Summer/Winter),Service,2025,1830.57,,
EST5064509,LE Tree Care,Standard,,484.36,4,121.09
EST5519782,LE Paving,Standard,,14763,48,307.56
EST5519631,LE Paving,Standard,,10000.1,54,185.19
EST5506745,LE Tree Care,Standard,,405.99,2,203.00
EST5379075,LE Paving,Standard,,3796,,
EST3019790,LE Maintenance (Summer/Winter),Service,1,2684.06,,
EST5444888,LE Paving,Standard,,9687.76,24,403.66
EST5520251,LE Paving,Standard,,1575,,
EST5578649,LE Tree Care,Standard,,878.58,6,146.43
EST5571716,LE Paving,Standard,,926.47,,
EST5461064,LE Paving,Standard,,4802.62,15,320.17
EST5566693,LE Paving,Standard,,72031.39,165,436.55
EST5561236,LE Tree Care,Standard,,406,3,135.33
EST4894879,LE Paving,Standard,,31697.14,69,459.38
EST5566794,LE Paving,Standard,,4348.34,30,144.94
EST5580491,LE Tree Care,Standard,,873.76,6.5,134.42
EST5077566,LE Tree Care,Standard,,1569.02,12,130.75
EST5561631,LE Tree Care,Standard,,1222.72,8,152.84
EST5585007,LE Landscapes,Standard,,21182.54,80,264.78
EST5592485,LE Paving,Standard,,4345.21,28,155.19
EST3143828,LE Maintenance (Summer/Winter),Service,2025,15311.99,,
EST3143942,LE Maintenance (Summer/Winter),Service,2026,15771.35,,
EST5405949,LE Tree Care,Standard,,8171,43,190.02
EST5597407,LE Tree Care,Standard,,1069.89,7,152.84
EST5595486,LE Tree Care,Standard,,727.55,5,145.51
EST5599550,LE Tree Care,Standard,,2816.88,18,156.49
EST5585118,LE Landscapes,Standard,2,26553.99,32,829.81
EST5574635,LE Maintenance Enchancements,Standard,,500.01,7,71.43
EST5561611,LE Tree Care,Standard,,562.48,4,140.62
EST5460758,LE Landscapes,Standard,,52873.6,196,269.76
EST5451698,LE Irrigation,Standard,,14312.16,,
EST5616673,LE Tree Care,Standard,,586.92,4,146.73
EST5609487,LE Irrigation,Standard,,5975.34,32,186.73
EST5618743,LE Irrigation,Standard,,305.22,3,101.74
EST5617579,LE Tree Care,Standard,,703.11,5,140.62
EST5432160,LE Irrigation,Standard,,1088.89,,
EST5631620,LE Irrigation,Standard,,1483.97,14,106.00
EST5634330,LE Irrigation,Standard,,471.61,4,117.90
EST3113018,LE Maintenance (Summer/Winter),Service,2025,2610,,
EST5490855,LE Irrigation,Standard,,2624.02,24,109.33
EST5643104,LE Tree Care,Standard,,1268.04,8,158.50
EST5432834,LE Irrigation,Standard,,549.42,4,137.35
EST5453356,LE Irrigation,Standard,,2489.46,24,103.73
EST5641692,LE Paving,Standard,,1637.48,8,204.69
EST5638564,LE Irrigation,Standard,,1303.71,12,108.64
EST5307308,LE Irrigation,Standard,,650,,
EST5360820,LE Irrigation,Standard,,150,,
EST5651265,LE Landscapes,Standard,,2999.99,40,75.00
EST5650526,LE Paving,Standard,,13894.57,92,151.03
EST5647245,LE Tree Care,Standard,,1455.08,10,145.51
EST5368203,LE Irrigation,Standard,,150,,
EST5641433,LE Tree Care,Standard,,1706.52,10,170.65
EST3251320,LE Maintenance (Summer/Winter),Service,2025,30980,105,295.05
EST5668632,LE Tree Care,Standard,,749.97,4,187.49
EST3253896,LE Maintenance (Summer/Winter),Service,1,9785,5,1957.00
EST3254527,LE Maintenance (Summer/Winter),Service,1,13355,15,890.33
EST5450944,LE Irrigation,Standard,,125,,
EST5417650,LE Irrigation,Standard,,650,,
EST3259037,LE Maintenance (Summer/Winter),Service,1,34855,15,2323.67
EST4851791,LE Tree Care,Standard,,1041.12,7,148.73
EST5673984,LE Tree Care,Standard,,751.99,5,150.40
EST4924236,LE Paving,Standard,,22952.7,39,588.53
EST3260588,LE Maintenance (Summer/Winter),Service,1,49600,72,688.89
EST3253077,LE Maintenance (Summer/Winter),Service,2025,4011,5,802.20
EST3258967,LE Maintenance (Summer/Winter),Service,1,31545,72,438.13
EST5453025,LE Irrigation,Standard,,976.14,10,97.61
EST5706225,LE Irrigation,Standard,,120,,
EST5706309,LE Irrigation,Standard,,500,,
EST5690629,LE Tree Care,Standard,,892.6,6,148.77
EST3268905,LE Maintenance (Summer/Winter),Service,1,51025,72,708.68
EST5451423,LE Irrigation,Standard,,200,,
EST3190284,LE Maintenance (Summer/Winter),Service,2025,15049.91,105,143.33
EST5378939,LE Paving,Standard,,14094.53,36,391.51
EST5274604,LE Tree Care,Standard,,914.91,6,152.48
EST5851132,Line Painting,Standard,,500,,
EST5488582,LE Irrigation,Standard,,1612.85,10,161.28
EST4875856,LE Paving,Standard,,5311.47,15,354.10
EST5450892,LE Tree Care,Standard,,562.48,4,140.62
EST3260356,LE Maintenance (Summer/Winter),Service,2025,29189.99,72,405.42
EST5721976,LE Irrigation,Standard,,160,,
EST3024115,LE Maintenance (Summer/Winter),Service,2025,46784.84,105,445.57
EST3024048,LE Maintenance (Summer/Winter),Service,2025,50590.99,105,481.82
EST5431995,LE Irrigation,Standard,,3252.37,18,180.69
EST5451364,LE Irrigation,Standard,,499,,
EST5451661,LE Irrigation,Standard,,200,,
EST3052960,LE Maintenance (Summer/Winter),Service,2025,22923.51,,
